"id","name","alternate_names","addresses","domains","total_events","last_event_date","created_at","updated_at","category","school_classification","is_religious","department"
"154","Genuine Parts Company",,,,"1","2023-12-06 00:00:00","2025-10-25 00:11:17.144103","2025-10-25 00:20:38.859","large_corp",,"false",
"155","AAA East Cobb Car Care Plus",,,,"1","2025-10-28 00:00:00","2025-10-25 00:11:17.338414","2025-10-25 00:11:17.338414",,,"false",
"156","Students",,,,"1","2024-10-27 00:00:00","2025-10-25 00:11:17.532156","2025-10-25 00:11:17.532156",,,"false",
"157","EarthLink",,,,"3","2023-04-19 00:00:00","2025-10-25 00:11:17.725849","2025-10-25 00:11:17.725849",,,"false",
"158","Siemens Digital Industries",,,,"1","2022-10-12 00:00:00","2025-10-25 00:11:17.923109","2025-10-25 00:20:38.924","large_corp",,"false",
"159","Lead Service 5th grade Fulton County School",,,,"1","2025-03-13 00:00:00","2025-10-25 00:11:18.122776","2025-10-25 00:11:18.122776",,,"false",
"160","Kids Care",,,,"1","2023-01-16 00:00:00","2025-10-25 00:11:18.317391","2025-10-25 00:11:18.317391",,,"false",
"161","Mill Creek Middle School Ambassadors Club",,,,"1","2023-12-13 00:00:00","2025-10-25 00:11:18.511846","2025-10-25 00:20:38.988","school","public","false",
"162","Saint Jude 2nd grade",,,,"1","2025-11-09 00:00:00","2025-10-25 00:11:18.706342","2025-10-25 00:11:18.706342",,,"false",
"163","OLA School",,,,"1","2022-09-21 00:00:00","2025-10-25 00:11:18.901845","2025-10-25 00:11:18.901845",,,"false",
"164","AL Burruss Elementary School",,,,"2","2024-03-15 00:00:00","2025-10-25 00:11:19.102079","2025-10-25 00:20:39.053","school","public","false",
"165","Atlanta Jack and Jill",,,,"1","2025-11-15 00:00:00","2025-10-25 00:11:19.298953","2025-10-25 00:11:19.298953",,,"false",
"166","Roswell Prebyterian Church",,,,"1","2025-10-01 00:00:00","2025-10-25 00:11:19.499648","2025-10-25 00:20:39.118","church_faith",,"true",
"167","Canterbury Court",,,,"1","2024-07-31 00:00:00","2025-10-25 00:11:19.695707","2025-10-25 00:11:19.695707",,,"false",
"168","CHOA",,,,"2","2024-07-08 00:00:00","2025-10-25 00:11:19.889784","2025-10-25 00:11:19.889784",,,"false",
"169","Gwinnett Youth Commission",,,,"1","2025-10-17 00:00:00","2025-10-25 00:11:20.085936","2025-10-25 00:11:20.085936",,,"false",
"170","The Davis Academy",,,,"1","2023-01-15 00:00:00","2025-10-25 00:11:20.285433","2025-10-25 00:20:39.183","school","public","false",
"171","Iota Sigma Chi Christian Sorority, Inc",,,,"1","2025-07-19 00:00:00","2025-10-25 00:11:20.482335","2025-10-25 00:20:39.248","church_faith",,"true",
"172","Kaiser Permanente",,,,"2","2024-05-08 00:00:00","2025-10-25 00:11:20.677182","2025-10-25 00:11:20.677182",,,"false",
"173","Kennesaw State University",,,,"1","2025-10-22 00:00:00","2025-10-25 00:11:20.871521","2025-10-25 00:20:39.313","school","public","false",
"174","Las Amigas",,,,"1","2023-05-31 00:00:00","2025-10-25 00:11:21.067621","2025-10-25 00:11:21.067621",,,"false",
"175","Girls Soccer Team",,,,"1","2025-01-31 00:00:00","2025-10-25 00:11:21.263917","2025-10-25 00:11:21.263917",,,"false",
"176","St. Joseph's Hospital",,,,"1","2022-11-16 00:00:00","2025-10-25 00:11:21.459345","2025-10-25 00:11:21.459345",,,"false",
"177","Alan Lund",,,,"1","2022-09-13 00:00:00","2025-10-25 00:11:21.658557","2025-10-25 00:11:21.658557",,,"false",
"178","Smith Currie Oles LLP",,,,"1","2025-07-30 00:00:00","2025-10-25 00:11:21.913407","2025-10-25 00:11:21.913407",,,"false",
"179","Wheeler NHS/Thrivent",,,,"2","2023-10-03 00:00:00","2025-10-25 00:11:22.114608","2025-10-25 00:11:22.114608",,,"false",
"180","BHHS Georgia Properties",,,,"1","2023-03-14 00:00:00","2025-10-25 00:11:22.311371","2025-10-25 00:11:22.311371",,,"false",
"181","Cumberland Academy of GA",,,,"1","2025-01-31 00:00:00","2025-10-25 00:11:22.507413","2025-10-25 00:20:39.378","school","public","false",
"182","TPX",,,,"4","2025-10-08 00:00:00","2025-10-25 00:11:22.701774","2025-10-25 00:11:22.701774",,,"false",
"183","Moishe House",,,,"1","2025-03-31 00:00:00","2025-10-25 00:11:22.903623","2025-10-25 00:11:22.903623",,,"false",
"184","Briarwoods Beach and Tennis Club",,,,"1","2024-01-15 00:00:00","2025-10-25 00:11:23.099096","2025-10-25 00:20:39.443","club",,"false",
"185","Resolution for Life",,,,"1","2024-04-10 00:00:00","2025-10-25 00:11:23.298432","2025-10-25 00:11:23.298432",,,"false",
"186","Family friends/baseball team",,,,"1","2025-11-08 00:00:00","2025-10-25 00:11:23.522537","2025-10-25 00:11:23.522537",,,"false",
"187","National Giving Day (Giving Tuesday)",,,,"1","2023-11-28 00:00:00","2025-10-25 00:11:23.717725","2025-10-25 00:11:23.717725",,,"false",
"188","C-W-C Office Furnishings",,,,"1","2022-11-03 00:00:00","2025-10-25 00:11:23.911404","2025-10-25 00:11:23.911404",,,"false",
"189","Mt. Vernon Presbyterian School",,,,"1","2023-09-06 00:00:00","2025-10-25 00:11:24.105299","2025-10-25 01:16:31.28","school","private","false",
"190","Learnwell Collective",,,,"2","2024-01-31 00:00:00","2025-10-25 00:11:24.300464","2025-10-25 00:11:24.300464",,,"false",
"191","McEachern High School",,,,"1","2025-11-14 00:00:00","2025-10-25 00:11:24.495984","2025-10-25 00:20:39.508","school","public","false",
"192","Salesforce",,,,"5","2025-07-16 00:00:00","2025-10-25 00:11:24.691601","2025-10-25 00:11:24.691601",,,"false",
